Id,SalePrice
1101,50538.152
1102,110973.29
1103,109602.53
1104,124367.45
1105,143889.6
1106,250589.05
1107,180007.64
1108,207537.22
1109,201798.45
1110,236977.16
1111,187266
1112,176466.44
1113,112447.445
1114,111625.18
1115,122886.93
1116,273519.75
1117,184983.78
1118,104559.88
1119,109565.555
1120,109155.875
1121,117323.91
1122,239039.03
1123,77523.64
1124,86845.586
1125,192211.94
1126,95799.305
1127,208400.2
1128,217572.56
1129,206256.11
1130,132159.5
1131,142674.16
1132,97263.68
1133,100482.03
1134,173300.95
1135,195587.17
1136,91802.92
1137,94112.67
1138,74806.875
1139,228799.44
1140,116217.01
1141,117177.766
1142,156269
1143,305845.9
1144,75960.37
1145,50278.54
1146,117884.484
1147,201674.89
1148,117396.59
1149,107837.95
1150,105185.53
1151,116060.87
1152,160619
1153,158236.83
1154,107081.016
1155,192567.6
1156,180240.05
1157,139435.69
1158,202483.23
1159,208371.2
1160,160369.14
1161,139347.2
1162,180883.39
1163,115845.375
1164,95206.234
1165,165982.94
1166,161745.69
1167,186997.27
1168,203142.8
1169,166263.6
1170,387354.44
1171,134583
1172,143428.02
1173,173222.38
1174,181747.89
1175,157596.56
1176,263910.03
1177,125787.42
1178,97665.5
1179,101076.3
1180,98125.43
1181,210201.78
1182,188635.55
1183,342264.28
1184,149657.05
1185,200668.17
1186,86036.31
1187,39435.445
1188,217745.7
1189,169288.58
1190,170651.08
1191,209236.06
1192,201776.86
1193,93765.6
1194,145740.48
1195,105433.7
1196,171861.3
1197,229180.88
1198,113337.29
1199,164086.72
1200,148843.81
1201,105543.69
1202,172681.75
1203,96589.46
1204,144640.53
1205,135660.77
1206,212757.55
1207,124550.63
1208,238127.56
1209,121819.04
1210,272349
1211,172010.06
1212,140512.52
1213,65591.02
1214,129650.03
1215,108682.5
1216,105772.7
1217,41138.12
1218,174680.22
1219,75204.39
1220,131684.97
1221,130350.14
1222,120169.2
1223,156632.36
1224,167290.05
1225,183125.97
1226,107319.16
1227,206111.22
1228,115002.85
1229,243392.25
1230,117804.99
1231,50934.82
1232,122849.63
1233,42266.99
1234,113710.04
1235,66437.42
1236,96200.65
1237,156959.7
1238,218181.95
1239,171298.67
1240,201609.23
1241,185550.47
1242,217706.48
1243,172849.11
1244,291087.72
1245,159708.98
1246,215084.11
1247,201348.44
1248,139913.6
1249,120675.97
